0, 49.9168, 0.699666, -0.082508
0.1, 49.4715, 0.458084, -0.120389
0.2, 49.5507, 0.596161, -0.461866
0.3, 50.302, 0.747587, -0.0173561
0.4, 50.4815, 0.285146, -0.825927
0.5, 50.0022, -0.158753, 0.558579
0.6, 50.2671, 0.419308, 0.572895
0.7, 49.2348, 0.485303, -1.14287
0.8, 49.8685, -0.6439, -1.40958
0.9, 50.6985, 0.0399449, 0.153015
1, 50.2079, 0.765043, 0.791553
1.1, 49.828, -0.0898956, 0.687534
1.2, 49.5965, -0.0457902, -0.0546443
1.3, 50.1829, -0.418616, -0.230025
1.4, 49.0906, -0.663807, -0.297865
1.5, 50.4348, -0.226363, -0.4674
1.6, 49.2819, 0.677015, -0.0508403
1.7, 49.8263, -0.326957, -0.0587034
1.8, 50.2427, 0.406888, -0.147512
1.9, 49.8697, 0.302115, -0.73438
2, 49.4285, -0.238809, -0.71723
2.1, 49.7225, 0.232395, 0.285026
2.2, 50.354, -0.73886, 0.687574
2.3, 49.3035, -0.585751, 0.251538
2.4, 49.7697, 0.342, -0.658381
2.5, 50.5564, 0.352489, 0.374916
2.6, 49.6958, 0.868328, 0.243472
2.7, 50.3918, 0.140966, 0.506932
2.8, 50.2226, 0.130321, -0.0126885
2.9, 50.5345, 0.957997, -0.408822
3, 49.3924, 0.255869, 0.440127
3.1, 50.7033, 0.918328, 0.382165
3.2, 49.6798, 1.14914, -0.165044
3.3, 49.6449, -0.429701, -0.209657
3.4, 50.7649, -0.0446499, 0.128454
3.5, 50.412, -0.0765039, 0.140604
3.6, 50.042, -0.195991, -0.45675
3.7, 50.2255, -0.678245, 1.02015
3.8, 49.085, 0.188027, 0.292373
3.9, 50.3637, -0.38495, -0.292695
4, 49.5663, 0.282312, 0.94048
4.1, 50.9935, -0.240067, -0.243162
4.2, 50.2458, -0.160762, -1.28374
4.3, 50.0708, 0.0140195, 0.899563
4.4, 50.01, 0.107814, -0.158158
4.5, 49.7841, 0.0345522, -1.12788
4.6, 49.7225, -0.433846, 0.275278
4.7, 50.1354, -0.068499, -0.0171825
4.8, 49.1968, -0.267934, 0.245475
4.9, 50.7415, -0.741129, -0.274973
5, 49.5208, -1.01996, 0.861512
5.1, 50.6357, 0.104805, -0.0707455
5.2, 50.2193, -0.661658, 1.1848
5.3, 50.4223, 0.584634, -0.426648
5.4, 49.9521, 0.389057, 0.589938
5.5, 49.9724, -0.10258, 0.00334782
5.6, 49.6161, 0.272523, 0.324804
5.7, 49.5274, -0.706461, 0.0151525
5.8, 49.328, 0.0743347, 0.251102
5.9, 49.7542, -1.31663, -0.378227
6, 50.1369, 0.460218, -0.388278
6.1, 49.3313, -1.04259, -0.668645
6.2, 50.8037, 0.26096, 1.09681
6.3, 50.8387, -0.636516, -0.190621
6.4, 50.5303, 0.204398, -0.471763
6.5, 50.5987, -0.745494, 0.546729
6.6, 49.4564, 0.340932, -0.154151
6.7, 49.8676, 0.637409, -0.526374
6.8, 49.5837, 0.360292, -0.17344
6.9, 50.0013, 0.351308, -0.432204
7, 49.8699, -0.204647, 0.253724
7.1, 49.8054, 0.0227132, -0.687113
7.2, 49.4076, -0.311426, -0.362919
7.3, 50.0006, 0.544147, -0.154952
7.4, 49.6032, 0.866005, 0.442266
7.5, 49.6472, 0.35574, -1.36117
7.6, 50.3106, 0.112792, 0.519365
7.7, 48.6962, -0.134431, -0.550108
7.79999, 49.2661, 0.0472568, 0.245339
7.89999, 49.6875, -0.200619, -0.512548
7.99999, 49.9544, 0.405861, -0.117474
8.09999, 49.9393, 0.201249, 0.21986
8.2, 49.4399, 0.927653, 0.32424
8.3, 49.9906, -0.398325, 0.768734
8.4, 50.3402, -0.126755, 0.170784
8.5, 49.987, -0.498966, -1.16409
8.6, 49.0257, -0.0325411, 0.410322
8.7, 49.572, 1.13526, 0.298208
8.8, 50.2942, 0.0539795, 0.138816
8.9, 50.2532, 0.626843, -0.622374
9, 49.751, 0.793596, 0.440472
9.1, 50.7592, -0.394357, 0.261788
9.2, 51.095, -0.0105745, -0.544887
9.3, 50.3229, 0.272479, -0.116384
9.4, 50.3398, -0.0406583, -0.724511
9.5, 49.6885, -0.727328, 0.857113
9.6, 49.9489, 0.0978863, 0.481664
9.7, 49.9052, 0.379096, -0.0761938
9.8, 49.5264, -0.0044047, 0.448402
9.9, 49.6467, -0.741371, -0.208208
