0, 6.10656, 1.26295, 0.726431
0.1, 11.4797, -2.06934, -1.21773
0.2, 15.8313, 0.0897925, 0.796296
0.3, 22.4866, 0.92097, 0.00978561
0.4, 25.0361, 2.36903, -0.620793
0.5, 32.4682, 0.238927, 0.332403
0.6, 35.3644, -0.642809, 1.50408
0.7, 39.2709, 0.232293, 1.27409
0.8, 47.1199, -0.965383, -0.475491
0.9, 50.4212, 0.67365, -2.87284
1, 55.4462, 0.385658, 0.027491
1.1, 58.6469, 0.446907, -1.29729
1.2, 63.917, 1.03538, -1.03038
1.3, 70.4249, -1.05409, 0.596334
1.4, 75.6791, -0.910151, 1.30439
1.5, 79.7427, 0.685396, 0.708446
1.6, 83.6474, -1.5697, -1.27345
1.7, 89.1517, -0.506891, 2.6576
1.8, 95.3732, 0.32681, 0.719109
1.9, 100.02, 3.23552, 0.606079
2, 104.784, -0.892932, 0.82001
2.1, 110.066, -0.186041, -0.459196
2.2, 115.346, 1.43079, 1.53772
2.3, 119.762, 1.92991, 0.363938
2.4, 125.911, -0.36929, 0.0492822
2.5, 131.752, -2.11308, 1.42005
2.6, 137.124, 0.847319, -2.28772
2.7, 140.618, 1.37852, -1.47887
2.8, 146.363, 1.42324, -1.76889
2.9, 150.68, -2.1957, -0.697496
3, 155.284, -0.621239, -0.0806624
3.1, 163.347, -1.05371, -0.501789
3.2, 164.25, 1.1929, -1.02282
3.3, 170.524, -0.811643, 0.605545
3.4, 175.511, -1.78851, 2.40131
3.5, 179.727, 2.40171, -1.23129
3.6, 187, 0.768681, -1.69111
3.7, 191.441, -0.195237, 0.924553
3.8, 194.827, -1.77527, 1.10633
3.9, 200.465, 0.320415, -1.15553
4, 205.896, 0.761832, 1.22445
4.1, 210.394, 0.189358, -0.708559
4.2, 214.89, 1.87591, -0.575807
4.3, 222.095, -1.08063, -0.095181
4.4, 223.117, -1.50803, 0.727185
4.5, 227.31, -1.51652, 1.86398
4.6, 238.38, -0.463653, -0.482089
4.7, 240.828, -0.804271, 1.64858
4.8, 246.571, 0.106045, -0.838638
4.9, 250, 0.126876, -0.15971
5, 254.434, 0.745291, 0.51964
5.1, 259.553, -1.07147, 1.50293
5.2, 263.39, 1.6139, 2.65278
5.3, 269.208, 1.05476, -0.276892
5.4, 276.264, -1.29538, 0.33232
5.5, 279.346, 1.99848, -1.14855
5.6, 281.494, 0.0832803, 0.700188
5.7, 291.08, 0.720255, -1.27149
5.8, 294.096, -0.31204, 0.221829
5.9, 298.871, -1.55006, 1.43057
6, 305.35, -0.0951373, 0.943811
6.1, 309.655, 0.108715, -0.969147
6.2, 316.146, 0.553097, -1.22028
6.3, 321.173, 2.852, -1.61064
6.4, 326.813, 0.68931, 2.29305
6.5, 330.485, -2.51082, 1.23642
6.6, 334.986, 1.47855, 0.714846
6.7, 339.773, -0.398552, -0.828101
6.8, 345.783, 1.15177, -2.79656
6.9, 348.889, 0.344944, 1.60808
7, 356.065, -0.296372, -1.65764
7.1, 360.246, -2.06002, -1.92049
7.2, 364.211, -0.67297, -1.81973
7.3, 371.75, 0.212088, -1.71957
7.4, 375.448, 0.668405, 1.15845
7.5, 380.94, -0.244562, 0.128393
7.6, 384.425, 1.10555, -2.94103
7.7, 388.647, -1.84346, 0.283872
7.79999, 395.23, -1.33866, -0.0977034
7.89999, 399.343, -1.35893, -1.42113
7.99999, 406.373, -1.21745, 0.848411
8.09999, 408.741, 0.711213, 0.975165
8.2, 415.754, 0.724028, -2.11954
8.3, 420.155, -2.53588, -0.111374
8.4, 423.688, -0.133898, -1.01729
8.5, 428.113, -1.01198, 0.563482
8.6, 435.583, -1.18577, -0.0893754
8.7, 440.827, 0.359337, 1.31221
8.8, 443.507, -2.63977, -0.574313
8.9, 449.977, 1.12383, 0.14451
9, 452.892, -0.752526, 0.489302
9.1, 462.41, -1.5578, 0.245299
9.2, 464.446, 1.1994, -0.367128
9.3, 472.081, 1.81012, 1.02883
9.4, 473.909, -2.55287, 0.71954
9.5, 478.525, -0.540568, 0.264357
9.6, 482.775, -0.823928, -1.08981
9.7, 491.086, 0.496896, 1.9379
9.8, 495.41, 2.82176, -0.965201
9.9, 502.091, 1.89375, -1.44305
