0, 5, 0, 0, 50, 0, 0
0.1, 10, 0, 0, 50, 0, 0
0.2, 15, 0, 0, 50, 0, 0
0.3, 20, 0, 0, 50, 0, 0
0.4, 25, 0, 0, 50, 0, 0
0.5, 30, 0, 0, 50, 0, 0
0.6, 35, 0, 0, 50, 0, 0
0.7, 40, 0, 0, 50, 0, 0
0.8, 45, 0, 0, 50, 0, 0
0.9, 50, 0, 0, 50, 0, 0
1, 55, 0, 0, 50, 0, 0
1.1, 60, 0, 0, 50, 0, 0
1.2, 65, 0, 0, 50, 0, 0
1.3, 70, 0, 0, 50, 0, 0
1.4, 75, 0, 0, 50, 0, 0
1.5, 80, 0, 0, 50, 0, 0
1.6, 85, 0, 0, 50, 0, 0
1.7, 90, 0, 0, 50, 0, 0
1.8, 95, 0, 0, 50, 0, 0
1.9, 100, 0, 0, 50, 0, 0
2, 105, 0, 0, 50, 0, 0
2.1, 110, 0, 0, 50, 0, 0
2.2, 115, 0, 0, 50, 0, 0
2.3, 120, 0, 0, 50, 0, 0
2.4, 125, 0, 0, 50, 0, 0
2.5, 130, 0, 0, 50, 0, 0
2.6, 135, 0, 0, 50, 0, 0
2.7, 140, 0, 0, 50, 0, 0
2.8, 145, 0, 0, 50, 0, 0
2.9, 150, 0, 0, 50, 0, 0
3, 155, 0, 0, 50, 0, 0
3.1, 160, 0, 0, 50, 0, 0
3.2, 165, 0, 0, 50, 0, 0
3.3, 170, 0, 0, 50, 0, 0
3.4, 175, 0, 0, 50, 0, 0
3.5, 180, 0, 0, 50, 0, 0
3.6, 185, 0, 0, 50, 0, 0
3.7, 190, 0, 0, 50, 0, 0
3.8, 195, 0, 0, 50, 0, 0
3.9, 200, 0, 0, 50, 0, 0
4, 205, 0, 0, 50, 0, 0
4.1, 210, 0, 0, 50, 0, 0
4.2, 215, 0, 0, 50, 0, 0
4.3, 220, 0, 0, 50, 0, 0
4.4, 225, 0, 0, 50, 0, 0
4.5, 230, 0, 0, 50, 0, 0
4.6, 235, 0, 0, 50, 0, 0
4.7, 240, 0, 0, 50, 0, 0
4.8, 245, 0, 0, 50, 0, 0
4.9, 250, 0, 0, 50, 0, 0
5, 255, 0, 0, 50, 0, 0
5.1, 260, 0, 0, 50, 0, 0
5.2, 265, 0, 0, 50, 0, 0
5.3, 270, 0, 0, 50, 0, 0
5.4, 275, 0, 0, 50, 0, 0
5.5, 280, 0, 0, 50, 0, 0
5.6, 285, 0, 0, 50, 0, 0
5.7, 290, 0, 0, 50, 0, 0
5.8, 295, 0, 0, 50, 0, 0
5.9, 300, 0, 0, 50, 0, 0
6, 305, 0, 0, 50, 0, 0
6.1, 310, 0, 0, 50, 0, 0
6.2, 315, 0, 0, 50, 0, 0
6.3, 320, 0, 0, 50, 0, 0
6.4, 325, 0, 0, 50, 0, 0
6.5, 330, 0, 0, 50, 0, 0
6.6, 335, 0, 0, 50, 0, 0
6.7, 340, 0, 0, 50, 0, 0
6.8, 345, 0, 0, 50, 0, 0
6.9, 350, 0, 0, 50, 0, 0
7, 355, 0, 0, 50, 0, 0
7.1, 360, 0, 0, 50, 0, 0
7.2, 365, 0, 0, 50, 0, 0
7.3, 370, 0, 0, 50, 0, 0
7.4, 375, 0, 0, 50, 0, 0
7.5, 380, 0, 0, 50, 0, 0
7.6, 385, 0, 0, 50, 0, 0
7.7, 390, 0, 0, 50, 0, 0
7.79999, 395, 0, 0, 50, 0, 0
7.89999, 400, 0, 0, 50, 0, 0
7.99999, 405, 0, 0, 50, 0, 0
8.09999, 410, 0, 0, 50, 0, 0
8.2, 415, 0, 0, 50, 0, 0
8.3, 420, 0, 0, 50, 0, 0
8.4, 425, 0, 0, 50, 0, 0
8.5, 430, 0, 0, 50, 0, 0
8.6, 435, 0, 0, 50, 0, 0
8.7, 440, 0, 0, 50, 0, 0
8.8, 445, 0, 0, 50, 0, 0
8.9, 450, 0, 0, 50, 0, 0
9, 455, 0, 0, 50, 0, 0
9.1, 460, 0, 0, 50, 0, 0
9.2, 465, 0, 0, 50, 0, 0
9.3, 470, 0, 0, 50, 0, 0
9.4, 475, 0, 0, 50, 0, 0
9.5, 480, 0, 0, 50, 0, 0
9.6, 485, 0, 0, 50, 0, 0
9.7, 490, 0, 0, 50, 0, 0
9.8, 495, 0, 0, 50, 0, 0
9.9, 500, 0, 0, 50, 0, 0
